dimension,value,n_briefs,n_recommendation_slots,distinct_catalog_families,distinct_names_overall,top9_share,catalog_share,outside_catalog_share,unresolved_share,eligible_catalog_families,share_of_eligible_families_used
industry,developer_tools,21,945,98,210,0.339,0.7717,0.2054,0.0229,1955,0.0501
industry,editorial,21,945,73,270,0.2516,0.5466,0.3872,0.0663,1955,0.0373
industry,education,21,945,92,215,0.2482,0.699,0.2672,0.0338,1955,0.0471
industry,fintech,21,945,77,252,0.2912,0.572,0.3674,0.0605,1955,0.0394
industry,food,21,945,99,273,0.1916,0.5695,0.3758,0.0547,1955,0.0506
industry,gaming,21,945,99,254,0.2175,0.6663,0.2988,0.0348,1955,0.0506
industry,healthcare,21,945,98,222,0.297,0.7537,0.223,0.0233,1955,0.0501
industry,luxury_retail,21,945,81,316,0.2063,0.4434,0.4825,0.0741,1955,0.0414
industry,nonprofit,21,945,81,189,0.3044,0.7135,0.2674,0.019,1955,0.0414
industry,public_sector,21,945,77,171,0.4,0.7568,0.2074,0.0358,1955,0.0394
tone,authoritative,35,1575,64,248,0.3581,0.6273,0.3333,0.0394,1955,0.0327
tone,brutal,35,1575,113,429,0.1806,0.5202,0.423,0.0568,1955,0.0578
tone,elegant,35,1575,64,287,0.2997,0.453,0.4763,0.0707,1955,0.0327
tone,playful,35,1575,140,344,0.2483,0.7593,0.1823,0.0585,1955,0.0716
tone,technical,35,1575,78,247,0.43,0.7223,0.2636,0.0141,1955,0.0399
tone,warm,35,1575,106,227,0.318,0.813,0.1707,0.0164,1955,0.0542
medium,long_form_reading,35,1575,71,269,0.3545,0.574,0.3745,0.0514,1955,0.0363
medium,mobile_ui,35,1575,116,272,0.3575,0.7669,0.2156,0.0175,1955,0.0593
medium,packaging,35,1575,133,461,0.18,0.5066,0.4296,0.0638,1955,0.068
medium,presentation,35,1575,96,314,0.323,0.7005,0.264,0.0355,1955,0.0491
medium,print_editorial,35,1575,115,379,0.2098,0.5146,0.4258,0.0596,1955,0.0588
medium,website,35,1575,124,248,0.3212,0.8363,0.1368,0.027,1955,0.0634
script,cjk_adjacent,42,1890,89,358,0.3557,0.5549,0.402,0.0432,135,0.6593
script,latin_only,42,1890,83,354,0.2227,0.4219,0.5047,0.0734,1944,0.0427
script,plus_cyrillic,42,1890,93,302,0.2883,0.6552,0.292,0.0529,294,0.3163
script,plus_greek,42,1890,81,285,0.3859,0.6837,0.2778,0.0385,118,0.6864
script,plus_vietnamese,42,1890,122,183,0.4419,0.9323,0.0631,0.0047,519,0.2351
specificity,highly_specific,70,3150,144,592,0.2798,0.6485,0.3097,0.0417,1955,0.0737
specificity,moderate,70,3150,139,491,0.2653,0.6344,0.3271,0.0385,1955,0.0711
specificity,vague,70,3150,163,446,0.2154,0.6663,0.2864,0.0473,1955,0.0834
