rank,name,times_recommended,resolution_class,in_google_fonts,google_fonts_usage_rank
1,Source Sans 3,348,renamed_family,yes,37
2,IBM Plex Sans,339,exact,yes,47
3,Source Serif 4,296,renamed_family,yes,131
4,Noto Sans,277,exact,yes,14
5,Inter,262,exact,yes,4
6,Noto Sans JP,244,exact,yes,8
7,Literata,215,exact,yes,196
8,Noto Serif,177,exact,yes,70
9,Roboto,167,exact,yes,1
10,Fira Sans,162,exact,yes,53
11,Be Vietnam Pro,136,exact,yes,160
12,Lora,135,exact,yes,30
13,Nunito,123,exact,yes,17
14,Minion Pro,112,known_non_google,no,
15,GFS Didot,111,exact,yes,365
16,PT Serif,111,exact,yes,72
17,IBM Plex Serif,95,exact,yes,187
18,Cormorant Garamond,93,exact,yes,64
19,EB Garamond,90,exact,yes,74
20,Spectral,87,exact,yes,164
21,Noto Serif JP,83,known_alias,yes,76
22,Arno Pro,81,known_non_google,no,
23,Merriweather,78,exact,yes,32
24,Rubik,72,exact,yes,22
25,Alegreya,71,exact,yes,232
26,Quicksand,67,exact,yes,33
27,M PLUS Rounded 1c,65,exact,yes,107
28,IBM Plex Sans JP,64,exact,yes,541
29,PT Sans,63,exact,yes,31
30,GFS Neohellenic,62,exact,yes,1434
31,Zen Maru Gothic,60,exact,yes,183
32,Golos Text,59,exact,yes,276
33,IBM Plex Mono,53,exact,yes,95
34,Ubuntu,53,exact,yes,24
35,Tazugane Gothic,53,known_non_google,no,
36,Baloo 2,53,exact,yes,239
37,JetBrains Mono,49,exact,yes,60
38,Gentium Plus,49,exact,yes,1396
39,IBM Plex Sans Condensed,49,exact,yes,260
40,Minion 3,48,known_non_google,no,
41,Tiempos Text,48,known_non_google,no,
42,Charter,48,known_non_google,no,
43,Kazimir,47,known_non_google,no,
44,Hiragino Sans,46,system_font,no,
45,Crimson Pro,45,exact,yes,176
46,Freight Text,45,known_non_google,no,
47,Public Sans,43,exact,yes,83
48,Nunito Sans,42,exact,yes,21
49,Roboto Condensed,42,exact,yes,9
50,Open Sans,41,exact,yes,3
51,Playfair Display,39,exact,yes,19
52,Lyon Text,39,known_non_google,no,
53,Garamond Premier Pro,39,known_non_google,no,
54,Comfortaa,39,exact,yes,129
55,Kosugi Maru,39,exact,yes,367
